Store_name,Date,Review,Photo
백억하누 강남본점,22.4.12,고기가 먹고싶어서 가게되었는데 정말 흠잡을 곳 없이 맛있게 먹고왔어요,1
백억하누 강남본점,22.4.12,육즙팡팡한 고기가 정말 맛있었어요,0
백억하누 강남본점,22.4.12,이렇게 맛있는 집을 이제서야 알다니!!,0
백억하누 강남본점,22.4.12,고기가 정말 고소하고 맛있네여~직원분들도 친절하셔서 굿굿!!,0
강남진해장,22.4.12,"어쩌다 생각나서 자주갔는데
이제는 손절합니다

해장국에서 벌레나왔는데
“엥 파리가 빠졌나보네” 하며 슥 버리더니
다시해드릴께요 하고 가져가서
그 뚝배기 그대로 파 넣고 다시 끓여나오네요

하하,, 먹으면 속이 불편한 이유가 청결에 있었네요

걍 손님 치기 바쁜 시끄럽고 지저분한 음식점으로 한줄 결론 끝.",0
백억하누 강남본점,22.4.13,맛있습니다,1
백억하누 강남본점,22.4.13,"두명이 25만 원 짜리 하누세트를 먹었는데 고기는 질기고 누린내가 많이 납니다. 고객 응대가 빠르기는 하지만 그닥 친절한 것 같지도 않구요. 
이 정도 가격에 이런 맛과 서비스라면 가성비가 많이 떨어지는 것으로 생각됩니다. 재방문 의사 전혀 없습니다.",0
백억하누 강남본점,22.4.13,음식 맛있고 분위기 좋습니다,0
백억하누 강남본점,22.4.13,맛있어요,0
강남진해장,22.4.13,맛나요,0
강남진해장,22.4.13,굿,0
강남진해장,22.4.14,맛있어요,0
백억하누 강남본점,22.4.15,여기 맛집입니다. 추천드립니다,0
백억하누 강남본점,22.4.15,한우에는 역시 진로가 답이죠잉👍,1
백억하누 강남본점,22.4.15,오랜만에 가족끼리 온건데 룸에서 만족하게 식사했네요 웃음,0
백억하누 강남본점,22.4.15,상다리 부서지게 한가득 먹었네요! 오늘도 잘먹고 갑니다 웃음,0
백억하누 강남본점,22.4.15,부모님이 소고기 좋아하셔서 하나 사가볼라구욤 웃음,1
백억하누 강남본점,22.4.15,시간내어 다시 재방문 하려구요~ 정말 맛있어요,1
백억하누 강남본점,22.4.15,제자들과 같이 맛있게 먹었던 집입니다.,0
백억하누 강남본점,22.4.15,정말 맛있었습니다,1
강남진해장,22.4.15,"해장국 양이 많아요.
맛도 괜찮고 친절하세요.",0
백억하누 강남본점,22.4.16,매장 이쁘게 잘 해놨어요 웃음,1
백억하누 강남본점,22.4.16,항상 친절하게 맞아주셔서 감사해요. 중요한 약속 있을때는 무조건 여기 오려구요! 대만족!,0
백억하누 강남본점,22.4.16,부모님 몸보신 시켜드리려고 한우 먹으러 왔습니다 웃음,0
강남진해장,22.4.16,맛있게 잘 먹었습니다,1
강남진해장,22.4.17,마음에들고 맛이있고 재방문의사가 있습니다,1
백억하누 강남본점,22.4.18,차돌전복관자 삼합 먹었는데 맛이 좋았어요.,0
백억하누 강남본점,22.4.19,계속 계속 생각나는 고기의 육즙~!! 찐인정 웃음,0
백억하누 강남본점,22.4.19,"종종 가족모임하기에도 좋을 것 같네요, 조만간에 부모님 모시고 한번 들러야 겠어요~!! 맛있게 잘먹고 가요 번창하세요 웃음",1
백억하누 강남본점,22.4.19,맛있어요 다른말 필요없이 맛있는 곳,0
백억하누 강남본점,22.4.19,고기 맛나게 먹구 야외 테라스에서 좀 쉬다가요,1
백억하누 강남본점,22.4.19,투뿔한우라 그런지 입에서 살살 녹고 식감 최고!,0
강남진해장,22.4.19,맛나요,0
강남진해장,22.4.2,굳,0
