,store_name,date,review,photo,length,review_ckeck
6277,파파야리프,2021.6.19,넘 맛있게 잘 먹었어요  맥주까지 함께 웃음 웨이팅이 길었지만 기다린 보람이 있었어요  테이블이 조금 작긴 했어요,0,63,너무 맛있게 잘 먹었어요 맥주까지 함께 웃음 웨이팅이 길었지만 기다린 보람이 있었어요 테이블이 조금 작긴 했어요
6278,우동명가기리야마본진,2021.6.19,우동 면발이 끝내줘요,0,11,가락국수 면발이 끝내줘요
6279,우동명가기리야마본진,2021.6.19,우동 면이 정말 쫄깃해요 자루 우동 적극 추천합니다가격대가 좀 있지만 이것만 먹어도 만족스러워요 자루우동 단독으로판매 하진 않아서 덴푸라나 스시 돈카츠 세트로 먹어야해요 덴푸라는 무난한 맛입니다,1,108,가락국수면 이 정말 쫄깃해 요 자루 가락국수 적극 추천합니다가 경대가 좀 있지만 이것만 먹어도 만족스러워 요 자루 가락국수 단독으로 판매하진 않아서 튀김 나스 시돈 카츠 세트로 먹어야 해요덴푸라는 무난한 맛입니다
6280,봉추찜닭 강남주공공이점,2021.6.19,봉추 찜닭 맛이 점점 변하네요 실망 닭 비린내도 심하고,0,30,봉추찜닭 맛이 점점 변하네요 실망 닭 비린내 도심하고
6281,느린마을양조장 강남점,2021.6.19,안주는 김치전 끝이 너무 바삭딱딱해서 젓가락으로 잘라 먹기 힘들었던 것 빼고는 맛있었고 딸기 막걸리는 정말 요거트 먹는 것처럼 맛있었어요 하트 주말에는 저녁시간대에 웨이팅이 있어서 예약하고 방문하는게 좋을 것 같아요 ,0,121,안주는 김치 전 끝이 너무 바삭 딱딱해서 젓가락으로 잘라먹기 힘들었던 것 빼고는 맛있었고 딸기 막걸리는 정말 요구르트 먹는 것처럼 맛있었어요 하트 주말에는 저녁 시간대에 웨이팅이 있어서 예약하고 방문하는 게 좋을 것 같아요
6282,청류벽,2021.6.2,맛,0,1,맛
6283,고양이부엌,2021.6.2,오늘 맛탕이 덜 꾸덕거리는것 같아 아쉬웠어요,1,24,오늘 맛탕이 덜 끄덕거리는 것 같아 아쉬웠어요
6284,담소사골순대 강남본점,2021.6.2,육개장 먹었는데 평균이상은 하네요,0,18,육개장 먹었는데 평균 이상은 하네요
6285,구스아일랜드 브루하우스,2021.6.2,시카고에서 3년을 살다와서 이미 구스 팬이었음 평일 점심식사차 방문 오더가 꼬였는지 늦게온팀에 음식이 먼저나왔지만 다시 얘기해서 서비스로 맥주 한잔 주셨어요 음식도 나름 괜찮았습니다,0,101,시카고에서 3년을 살다 와서 이미 구스 팬이었을 평 일 점심 식사 차 방문 오더가 꼬였는지 늦게 온 팀에 음식이 먼저 나왔지만 다시 얘기해서 서비스로 맥주 한 잔 주셨어요 음식도 나름 괜찮았습니다
6286,딘타이펑 강남점,2021.6.2,굿,0,1,굿
